iter	Passed	Remaining
704	39385	16480
705	39486	16443
706	39534	16384
707	39584	16325
708	39629	16265
709	39676	16206
710	39724	16146
711	39770	16087
712	39814	16026
713	39858	15965
714	39904	15906
715	39955	15848
716	40001	15788
717	40052	15730
718	40100	15672
719	40152	15614
720	40204	15557
721	40250	15498
722	40328	15450
723	40392	15398
724	40439	15339
725	40538	15299
726	40623	15254
727	40682	15199
728	40734	15142
729	40813	15095
730	40876	15042
731	40983	15005
732	41101	14971
733	41160	14916
734	41221	14862
735	41278	14806
736	41342	14753
737	41413	14702
738	41475	14648
739	41531	14592
740	41599	14540
741	41705	14501
742	41758	14444
743	41803	14384
744	41857	14327
745	41907	14268
746	41953	14208
747	42003	14150
748	42050	14091
749	42141	14047
750	42226	14000
751	42286	13945
752	42351	13892
753	42401	13833
754	42459	13778
755	42513	13721
756	42569	13665
757	42638	13612
758	42720	13564
759	42821	13522
760	42870	13463
761	42917	13404
762	42969	13347
763	43021	13289
764	43080	13233
765	43134	13176
766	43189	13120
767	43241	13062
768	43291	13004
769	43354	12949
770	43409	12893
771	43478	12840
772	43524	12781
773	43576	12723
774	43637	12669
775	43689	12611
776	43738	12552
777	43787	12494
778	43906	12456
779	43965	12400
780	44010	12341
781	44065	12284
782	44110	12224
783	44156	12165
784	44207	12107
785	44259	12050
786	44314	11993
787	44370	11937
788	44417	11878
789	44472	11821
790	44521	11763
791	44567	11704
792	44615	11646
793	44661	11587
794	44709	11528
795	44756	11470
796	44805	11412
797	44850	11353
798	44901	11295
799	44997	11249
800	45079	11199
801	45134	11142
802	45184	11085
803	45235	11027
804	45294	10972
805	45354	10916
806	45400	10857
807	45449	10799
808	45504	10743
809	45562	10687
810	45613	10630
811	45668	10573
812	45715	10515
813	45762	10456
814	45812	10399
815	45859	10340
816	45905	10282
817	45950	10223
818	46000	10166
819	46084	10116
820	46195	10071
821	46247	10014
822	46302	9958
823	46357	9901
824	46409	9844
825	46458	9786
826	46506	9728
827	46552	9670
828	46610	9614
829	46667	9558
830	46714	9500
831	46762	9442
832	46809	9384
833	46857	9326
834	46911	9269
835	46960	9212
836	47007	9154
837	47058	9097
838	47109	9040
839	47163	8983
840	47307	8944
841	47365	8888
842	47417	8830
843	47462	8772
844	47510	8714
845	47558	8657
846	47606	8599
847	47654	8541
848	47701	8484
849	47750	8426
850	47864	8380
851	48024	8342
852	48208	8307
853	48448	8282
854	48834	8281
855	49024	8247
856	49217	8212
857	49414	8178
858	49601	8141
859	49800	8106
860	50074	8084
861	50394	8067
862	50602	8033
863	50765	7990
864	50825	7932
865	50880	7872
866	50938	7814
867	50989	7754
868	51055	7696
869	51107	7636
870	51163	7577
871	51217	7518
872	51305	7463
873	51410	7411
874	51527	7361
875	51588	7302
876	51638	7242
877	51693	7182
878	51750	7123
879	51806	7064
880	51866	7005
881	51921	6946
882	51976	6887
883	52032	6827
884	52085	6768
885	52135	6708
886	52190	6648
887	52251	6590
888	52318	6532
889	52369	6472
890	52430	6414
891	52480	6354
892	52630	6306
893	52685	6246
894	52736	6186
895	52788	6127
896	52844	6067
897	52898	6008
898	52952	5949
899	53001	5889
900	53048	5828
901	53093	5768
902	53140	5708
903	53188	5648
904	53235	5588
905	53298	5529
906	53346	5469
907	53396	5410
908	53447	5350
909	53494	5290
910	53546	5231
911	53597	5171
912	53737	5120
913	53792	5061
914	53837	5001
915	53886	4941
916	53934	4881
917	53981	4821
918	54040	4763
919	54087	4703
920	54139	4643
921	54191	4584
922	54251	4525
923	54310	4467
924	54377	4409
925	54468	4352
926	54520	4293
927	54569	4233
928	54620	4174
929	54664	4114
930	54714	4055
931	54862	4002
932	54922	3944
933	54968	3884
934	55018	3824
935	55066	3765
936	55116	3705
937	55164	3646
938	55213	3586
939	55278	3528
940	55332	3469
941	55388	3410
942	55446	3351
943	55489	3291
944	55542	3232
945	55603	3174
946	55652	3114
947	55698	3055
948	55748	2995
949	55793	2936
950	55844	2877
951	55921	2819
952	56052	2764
953	56179	2708
954	56248	2650
955	56324	2592
956	56384	2533
957	56439	2474
958	56502	2415
959	56556	2356
960	56616	2297
961	56667	2238
962	56724	2179
963	56798	2121
964	56844	2061
965	56892	2002
966	56950	1943
967	57026	1885
968	57098	1826
969	57282	1771
970	57336	1712
971	57383	1653
972	57437	1593
973	57486	1534
974	57535	1475
975	57583	1415
976	57632	1356
977	57682	1297
978	57729	1238
979	57775	1179
980	57821	1119
981	57883	1061
982	57938	1001
983	57994	943
984	58050	884
985	58100	824
986	58150	765
987	58205	706
988	58269	648
989	58414	590
990	58475	531
991	58518	471
992	58577	412
993	58623	353
994	58667	294
995	58716	235
996	58767	176
997	58811	117
998	58861	58
999	58916	0
